country,国家,地理,收入,OECD会员,巴塞尔会员,货币政策目标,央行是否有金融稳定导向,央行是否是审慎机构,央行是否担任金融稳定委员会主席,治理框架类型,绿色宏观审慎监管类型,绿色宏观审慎监管指数GMI,是否是NGFS成员,NGFS成员,监管实施方,绿色审慎工具,绿色审慎工具指数,差别化准备金要求,贷款限额,披露要求,风险评估,流动性工具,绿色金融原则,压力测试,Content & Objective/s of the green regulation,增补，截至20210907,调整后,Reference,Source
Estonia,爱沙尼亚,欧洲,高收入,yes,yes,1,yes,yes,no (Ministry of Finance),1,-,-,yes,yes，为爱沙尼亚银行,-,-,-,,,,,,是,,-,加入NGFS成员,4（增加绿色金融原则）,-,-
Finland,芬兰,欧洲,高收入,yes,yes,2,yes,no,yes (rotating between members every 3 years),1,under discussion,0,yes,yes，为芬兰银行,"?芬兰银行，即中央银行
 ? 金融监管局",,-,,,,是,,,,芬兰银行成为金融系统绿化网络（NGFS）的成员，2018年6月，巴黎同一星球峰会启动，旨在为金融部门气候和环境相关风险的分析和管理做出贡献，并动员主流金融支持向可持续经济过渡。,###############################################################################################################################################################################################################################################################,3（增加风险评估）,,https://www.ver.fi/en-US/VER_as_an_Investor/Responsible_Investing
France,法国,欧洲,高收入,yes,yes,2,yes,no,yes,1,voluntary,1,yes,yes，为法国银行,"?法国银行，即中央银行
?法国银行联合会","?披露过度杠杆风险的要点
?压力测试",8,,,是,是,,是,是,法国制定了法国法律所附的气候风险报告的具体要求（关于能源过渡和绿色增长的法律第173条）。后者特别要求公司报告与气候变化有关的金融风险，并要求资产管理公司和机构投资者报告其投资战略中如何考虑ESG标准。银行和信贷提供者应在其年度报告中披露过度杠杆的风险（非碳特异性）和定期压力测试所暴露的风险。机构投资者应在年度报告中披露：关于ESG标准如何在其投资决策中考虑的信息，其政策如何与国家能源和生态转型战略保持一致的信息。,###############################################################################################################################################################################################################################################################,8,Article 173 of the law on energy transition and green growth,https://goo.gl/BY6pNs
Germany,德国,欧洲,高收入,yes,yes,2,yes,yes,no (Ministry of Finance),1,under discussion,0,yes,yes，为德意志联邦银行,"?德意志交易所
?德意志联邦银行，即中央银行",金融的可持续性原则,4,,,是,,,是,是,德国积极参与绿色债券市场： 然而，绿色金融监管和可持续金融准则却缺失。德意志交易所宣布将于2017年5月启动可持续金融倡议。 同时，（一） 柏林联邦州推出了可持续性指数，以重新分配截至2017年的养老基金投资;（二） 联邦黑森州已宣布打算使法兰克福市成为绿色金融中心。 此外，联邦财政部发布了一份（受委托的）研究报告，研究气候变化对金融市场稳定的潜在影响。,###############################################################################################################################################################################################################################################################,4+披露要求,Deutsche B?rse to launch sustainable finance initiative,https://goo.gl/69vgCx
Ghana,加纳,非洲,中低收入,no,no,1,no,no,NA,2,under discussion,0,no,no,加纳银行，即中央银行,仍要启动 E&S 风险管理 （ESRM） 计划并确认加纳可持续银行原则,4,,,,,,是,,2018年3月，加纳银行（BOG）和可持续银行委员会在国际金融公司非洲E&S风险管理（ESRM）方案的支持下，为起草的加纳可持续银行原则召开了利益攸关方讲习班。可持续银行网络秘书处根据2018年2月推出的SBN全球进展指标提供反馈。2015年12月，BOG成立了加纳可持续银行委员会，其任务是为银行业制定可持续融资原则。2017年底，可持续银行委员会起草了加纳可持续银行原则初稿。下一步包括根据利益攸关方的反馈最后确定《原则》，以及随后银行业正式通过《原则》。,"2020-09，西非气候智能型农业倡议
为应对气候变化对西非农业生产力的影响，特别是对小生产者的影响，西非国家经济共同体 (ECOWAS) 制定了一个纳入区域农业和粮食基金 (RFAF) 的财务机制，称为“西非气候智能型农业倡议 (WAICSA})。（https://www.bog.gov.gh/news/request-for-expression-of-interest-west-african-initiative-for-climate-smart-agriculture/）",,"BoG, IFC signs ESRM guidelines monitoring and implementation agreement",https://goo.gl/FVp6g1
Hungary,匈牙利,欧洲,高收入,yes,yes,4,yes,yes,NA,0,-,-,yes,yes，为匈牙利中央银行,-,-,-,,,,是,,是,,-,###############################################################################################################################################################################################################################################################,,-,-
Iceland,冰岛,欧洲,高收入,yes,yes,2,yes,no,no (Ministry of Finance),1,-,-,yes,yes，为冰岛中央银行,-,-,-,,,,,,是,,-,冰岛银行为NGFS成员。,,-,-
India,印度,亚太,中低收入,no,yes,2,yes,yes,no (Ministry of Finance),1,mandatory,2,yes,yes，为印度储备银行,"?印度储备银行，即中央银行
?印度证券交易委员会","?最低信用额度
?补贴流动资金投资环保项目
?披露要求",5,,是,是,,是,,,2015 年 4 月，印度储备银行发布了《优先部门贷款 - 目标和分类》通知，明确针对可再生能源和农业。 后者为银行提供额外的和补贴的流动性，用于向环保项目提供贷款，并规定最低信用额度。此外，在同一2015年，印度证券交易委员会（SEBI）要求对绿色债券的发行和上市提供详细的信息披露要求。,未找到官网,,Circular of Priority Sector Lending – Targets and Classification - RBI/2014-15/573,https://goo.gl/JwRaCL
Indonesia,印度尼西亚,亚太,中低收入,no,yes,1,no,no,no (Ministry of Finance),2,mandatory,2,yes,yes，为印度尼西亚银行,?印度尼西亚金融服务管理局,"最低信用额度和最高信用额度
披露标准",6,,,是,是,,是,,###############################################################################################################################################################################################################################################################,无,,Sustainable Finance Umbrella Policy,https://goo.gl/w1Yn58
Ireland,爱尔兰,欧洲,高收入,yes,yes,2,yes,yes,yes,1,under discussion,0,yes,yes，为爱尔兰中央银行,爱尔兰中央银行，即中央银行,披露标准,2,,,是,是,,是,,如果冰岛支持欧盟委员会公布的2018年可持续金融行动计划，则中央银行将采取进一步措施，帮助公共和私人资本流向可持续投资。爱尔兰银行与金融稳定委员会（FSB）是气候相关财务披露工作组（TCFD）的一部分，该工作组于2017年6月发布了最后一套建议。,###############################################################################################################################################################################################################################################################,,The Central Bank and Sustainability,https://www.centralbank.ie/news/article/central-bank-and-sustainability-philip-lane-governor-central-bank-ireland
Israel,以色列,中东中亚,高收入,yes,yes,2,yes,yes,NA,0,-,-,yes,yes，为以色列银行,-,-,-,,,,,,是,,-,以色列银行为NGFS成员。,,-,-
Italy,意大利,欧洲,高收入,yes,yes,2,yes,yes,no (Ministry of Finance),1,under discussion,0,yes,yes，为意大利银行,"?意大利银行，即中央银行
?财政部","?气候变化对金融体系构成的风险分析
（需要新的金融监管工具和指导方针",4,,,,是,,是,,意大利于2016年2月启动了可持续金融全国对话，以评估现有做法，确定关键挑战，并提出政策选择，以扩大有希望的发展。它由环境部与其他部委和公共当局共同发起，包括一系列工作组，由金融部门和研究界的领导人组成。对话是与联合国环境规划署合作召开的，它带来了国际经验。必须强调，金融业对绿色经济风险和机遇的认识更高：以及需要制定新的银行监管规则，以加强环境风险分析。,2019-07，Fiorella Salvucci 和 Fabio Verachi，“将 ESG 和气候变化风险整合到风险评估和管理系统中。（https://www.bancaditalia.it/media/notizia/ignazio-visco-su-climate-finance-how-far-will-central-bankers-go-al-climate-capital-live-del-financial-times/）,,Report of the Italian National Dialogue on Sustainable Finance,https://goo.gl/iBAJ6o
Japan,日本,亚太,高收入,yes,yes,1,yes,no,no (Ministry of Finance),1,voluntary,1,yes,yes，日本银行和日本金融服务管理局,日本银行，即中央银行,"?最低信用额度
?补贴流动资金投资环保项目
?披露要求",5,,是,是,是,是,,,2004年，日本开发银行推出了环境评级贷款：贷款计划，通过评估公司环境管理建立的生态评级后确定的优惠利率，纳入环境评级使用制度。2007年，日本启动了一个补贴环境评级贷款利息支付的项目。2010年6月15日签署的《支持通过贷款支持计划加强经济增长基础的基金拨备措施的主要条款和条件》界定了流动性支持的部门和要求。 ,###############################################################################################################################################################################################################################################################,,Principal Terms and Conditions for the Fund-Provisioning Measure to Support Strengthening the Foundations for Economic Growth Conducted through the Loan Support Program,https://goo.gl/CsxEXt
Kenya,肯尼亚,非洲,中低收入,no,no,2,yes,yes,NA,0,voluntary,1,no,no,肯尼亚银行家协会,"?风险管理策略
?披露要求",7,,是,是,,,,,肯尼亚参与解决环境、社会和治理问题始于1990年代，其《公司治理守则》是肯尼亚的事务所。肯尼亚银行业通过肯尼亚银行家协会 （KBA） 在 2015 年 3 月举行的第二届可持续金融首席执行官圆桌会议上通过了《可持续金融指导原则》。KBA目前正在与银行合作，以确保它们有能力和资源来执行这些原则。 2016年，该国启动了《气候变化法》，以动员公共和私营部门的行动者向低碳经济过渡。肯尼亚于2017年启动了绿色经济战略和实施计划。,未找到官网,,Sustainable Finance Guiding Principles,https://goo.gl/LVQyfZ
Laos,老挝,亚太,中低收入,no,no,4,no,no,NA,2,under discussion,0,no,no,老挝银行，即中央银行,"?风险处理和管理策略
?披露要求",7,,是,是,,,,, ,未找到官网,,IFC and Bank of Lao PDR Join to Discuss the Benefits of Green Credit Policy,https://goo.gl/4EUskZ
Latvia,拉脱维亚,欧洲,高收入,yes,yes,2,yes,no,yes,1,-,-,yes,yes，为拉脱维亚银行,-,-,-,,,,,,是,,-,2020-03，拉脱维亚银行已加入全球中央银行和监管机构绿色金融体系网络。（https://www.bank.lv/en/component/content/article/596-for-media/press-releases/12083-latvijas-banka-joins-global-central-bank-network-for-addressing-climate-challenges）,,-,-
Lebanon,黎巴嫩,中东中亚,中高收入,no,no,2,yes,yes,NA,0,mandatory,2,no,no,中央银行,绿色（差别化）准备金要求,0,是,,,,,,,黎巴嫩银行支持绿色信贷，将商业银行的存款准备金率降低100-150%，以证明银行可以提供金融预测的节能潜力证明。,未找到官网,,"Basic Circular No 81
Addressed to Banks and Financial Institutions",https://goo.gl/9rTco2
Luxembourg,卢森堡,欧洲,高收入,yes,yes,1,yes,no,no (Ministry of Finance),1,under discussion,0,no,no,金融部门监督委员会,披露与气候相关的风险,2,,,是,是,,,,"2017年12月，卢森堡中央银行和世界各地的其他银行共同创建了""金融系统绿化网络""，作为自愿信息和最佳做法共享框架，旨在将绿色金融和更可持续的增长纳入主流。西班牙银行是采用绿色宏观审慎工具的先驱之一。",###############################################################################################################################################################################################################################################################,,NGFS First Progress Report  ,https://www.banque-france.fr/sites/default/files/media/2018/10/11/818366-ngfs-first-progress-report-20181011.pdf
Mexico,墨西哥,美洲,中高收入,yes,yes,2,yes,no,yes (chairing together with Ministry of Finance),1,voluntary,1,yes,yes，为墨西哥银行,墨西哥银行协会,"?气候风险管理
?可持续贷款策略",2,,,是,是,,是,,"墨西哥领导了将""包容性绿色增长""确立为20国集团20国集团20国集团主席任期内优先发展议程的一个优先事项。""包容性绿色增长""由随后的20国集团主席推动，并导致绿色投资倡议于2015年6月启动。ABM（墨西哥银行协会）通过制定一项由19家银行签署的""可持续性议定书""，在墨西哥领导了一种自愿的行业可持续银行业方法。",2020-02，墨西哥银行，墨西哥金融体系中的气候和环境风险与机遇。从诊断到行动（https://www.banxico.org.mx/sistema-financiero/d/%7B3A8C7F15-9FE1-9A2A-DCF7-6C6D11A0E1DB%7D.pdf）,,Sustainability Protocol ,https://goo.gl/CsxEXt
Mongolia,蒙古,亚太,中低收入,no,no,1,yes,no,no(Financial Regulatory Commission),1,voluntary,1,no,no,"?蒙古银行，即中央银行
?蒙古银行家协会",气候风险评估和管理,3,,,,是,,是,,###############################################################################################################################################################################################################################################################,"设立了适合国情的绿色金融分类目录。2019年12月，
蒙古国金融稳定委员会批准了《蒙古国绿色金融分类目录》（以下简称《目录》）。《目录》由MSFA推动编制，采用了三级分类的形式（正式发布目录的非官方中文翻译见附录），明确定义蒙古国境内的绿色项目。
推动了金融机构开展绿色项目融资、绿色企业贷款、
绿色中小企业借贷和绿色消费贷业务。
吸引了国际绿色资本参与筹建蒙古国家绿色金融公
司。
吸引了国际绿色资本参与筹建蒙古国家绿色金融公
司。",,Mongolian Sustainable Finance Principles,https://goo.gl/XuHGCC
Morocco,摩洛哥,非洲,中低收入,no,no,1,no,no,NA,2,voluntary,1,no,no,"· 摩洛哥中央银行Al-Maghrib银行（BKAM）
?摩洛哥资本市场管理局","?ESG 标准作为授信过程中的信用成分
?披露要求",2,,,是,,,,,###############################################################################################################################################################################################################################################################,未找到官网,,Roadmap for aligning the Moroccan financial sector with sustainable development,https://goo.gl/ja8L8z
Nepal,尼泊尔,亚太,低收入,no,no,4,yes,yes,NA,0,voluntary,1,no,no,尼泊尔中央银行(NRB),将环境和社会问题纳入信贷风险评估过程,3,,,,是,,,,"尼泊尔于2018年5月28日发布了《银行和金融机构环境和社会风险管理指南》。尼泊尔拉斯特拉银行（NRB）推出的ESRM准则为识别、评估和管理E&S风险制定了标准。除其他外，该准则还为所有银行提供了向NRB报告可持续性绩效的报告模板。尼泊尔Rastra银行于2014年加入国际金融公司支持的可持续银行网络（SBN），开始了迈向可持续银行体系的旅程。ESRM 准则由国际金融公司和 NRB 的专家使用全球标准起草，包括国际金融公司的绩效标准和赤道原则，并通过与银行家协会和发展合作伙伴的长期协商最终确定。
",未找到官网,,Nepal Rastra Bank Guideline on Environmental and Social Risk Management for Banks and Financial Institutions,https://goo.gl/ThnySE
Netherlands,荷兰,欧洲,高收入,yes,yes,2,yes,yes,yes,0,under discussion,0,yes,yes，为荷兰银行,荷兰银行（DNB），即中央银行,"? 认识到气候风险对金融稳定的威胁
?气候相关压力测试",10,,,是,是,,是,是,"2016年，荷兰银行（DNB）建立了可持续融资平台。设立该基金的目的是促进和提高人们对金融部门可持续筹资的认识。DNB计划将与气候相关的风险纳入其评估框架。他们将继续致力于实施和进一步发展气候压力测试。DNB目前正在非寿险公司进行与气候相关的压力测试，并正在对过渡风险进行压力测试，重点是从宏观经济和宏观审慎角度考虑能源转型的影响。
",###############################################################################################################################################################################################################################################################,,DNBulletin: Increasing climate-related risks demand more action from the financial sector,"https://goo.gl/wefR91
https://goo.gl/JXZeZN"
Nigeria,尼日利亚,非洲,中低收入,no,no,2,yes,yes,yes,0,mandatory,2,no,no,中央银行,"?强制性披露要求
? 信贷额度 -流动性限额",5,,是,是,,是,,,2013年，中央银行引入了监测和报告机制，以指导和监测《原则》的执行情况。银行必须提供关于政策和系统的初步一次性报告以及基线数据收集，然后每两年报告根据九项原则组织的指标。,无,,Nigerian Sustainable Banking Principles (and Sector Guidelines),https://goo.gl/Pxav7p
Norway,挪威,欧洲,高收入,yes,no,2,yes,no,no (Ministry of Finance),1,under discussion,0,no,no,金融稳定委员会,"?建立可持续金融的共同分类法
将气候报告与金融稳定委员会的气候风险披露建议保持一致
（0）提高金融部门的气候能力和能力
。将气候风险列入挪威金融监管局的任务",4,,,,,,是,是,"2018年6月，挪威金融公司为挪威金融部门制定了可持续的金融路线图：""挪威金融部门绿色竞争力路线图""。 路线图设定了2030年挪威金融部门盈利和可持续的愿景，以及支持向低碳、可持续的挪威经济过渡的目标。",###############################################################################################################################################################################################################################################################,,The Roadmap for Green Competitiveness in the Norwegian Financial Sector,https://goo.gl/YicFoc
Pakistan,巴基斯坦,亚太,中低收入,no,no,4,no,no,NA,2,mandatory,2,no,no,巴基斯坦国家银行，即中央银行,"。将环境和气候变化风险纳入和吸收信贷风险方法
?披露绿色银行活动",6,,,是,是,,,,巴基斯坦于2017年10月9日发布了强制性的绿色银行指南。目前，《准则》涵盖了贷款、为绿色项目融资和减少银行碳足迹方面的环境和社会风险。强制性准则旨在为 E&S 风险管理提供公平的竞争环境，并刺激绿色融资。,无,,"State Bank of Pakistan - Green Banking Guidelines, October 2017",https://goo.gl/wNZ6yC
Peru,秘鲁,美洲,中高收入,no,yes,1,no,no,no ,2,voluntary,1,no,no,银行监督,"?环境风险管理
? 披露要求",6,,,是,是,,,,银行、保险和私人养老基金管理人监督局于2015年3月发布了《社会和环境风险管理条例》。该条例旨在为社会环境风险管理确立最低要求，以鼓励金融机构实施最佳做法和审慎的决策过程。SBS还发布了《加强尽职调查在金融公司社会环境风险管理监管中的作用》，以解释该监管的主要特点。,未找到官网,,Regulation for Social and Environmental Risk Management,https://goo.gl/X4bEQv
Poland,波兰,欧洲,高收入,yes,no,1,no,no ,yes (chairing together with Ministry of Finance ),2,-,-,no,no,-,-,-,,,,,,,,-,,,-,-
Russia,俄罗斯,欧洲,中高收入,no,yes,2,yes,yes,no (Government),1,under discussion,0,yes,yes，为俄罗斯银行,俄罗斯银行，即中央银行,讨论协调气候风险对金融稳定的需求准则,4,,,,是,,是,,"俄罗斯联邦于2017年5月举行了""绿色融资促进可持续发展""国际会议。俄罗斯中央银行进行了""金融市场监管审查：绿色债券""。",###############################################################################################################################################################################################################################################################,,"Overview of the regulation of financial markets, N4",https://goo.gl/F9fL9S
Saudi Arabia,沙特阿拉伯,中东中亚,高收入,no,observer,2,yes,yes,NA,0,under discussion,0,no,no,中央银行,绿色投资目标指南和扩大信贷能力的讨论,4,,,,,,是,,海湾国家长期以来一直反对国际气候保护协定。他们对石油和天然气的经济和政治依赖程度太高了。然而，近年来发生了范式转变：在其他海湾国家的带领下，沙特阿拉伯现在也正在达成一个更进步的气候保护政策。 沙特阿拉伯宣布到2030年在可再生能源方面投资300亿至500亿美元。 中央银行已表示打算加入可持续银行网络。,无,,Saudi Arabia’s small step towards sustainability,https://goo.gl/3DVMF7
Singapore,新加坡,亚太,高收入,no,yes,1,yes,yes,NA,0,under discussion,0,yes,yes，为新加坡货币管理局,新加坡货币管理局,讨论制定绿色金融愿景，支持金融监管方面的绿色转型,4,,是,是,是,,是,是,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,"Keynote Address by Mr Lawrence Wong, Minister for National Development and Second Minister for Finance, at the Investment Management Association of Singapore's 20th Anniversary Conference on 23 March 2017",https://goo.gl/Q8wEG3
Slovakia,斯洛伐克共和国,欧洲,高收入,yes,yes,1,yes,yes,NA,0,-,-,no,no,- ,-,-,,,,,,,,-,无,,-,-
Slovenia,斯洛文尼亚,欧洲,高收入,yes,yes,1,yes,yes,yes,0,-,-,yes,yes，为斯洛文尼亚银行,- ,-,-,,,,,,是,,-,斯洛文尼亚银行是NGFS成员。,,-,-
